Geographic_Area_Name,NAICS_Description,Year,Total_Fringe_Benefits,Total_Materials_Cost,Cost_Materials_Used,Cost_Resales,Inventories_Beginning_Year,Finished_Goods_Beginning,Work_In_Process_Beginning,Materials_Supplies_Beginning,Inventories_End_Year,Finished_Goods_End,Work_In_Process_End,Materials_Supplies_End,Total_Capital_Expenditures,Capital_Buildings,Capital_Machinery,Capital_Automobiles,Capital_Computers,Capital_Other
Maryland,Manufacturing,2019,1873534,18595080,16742496,1013594,5257697,1972716,1245384,2039597,5384554,2105487,1091809,2187258,1625697,425436,1200261,43153,67616,1089491
Maryland,Manufacturing,2020,1910619,18386267,16592274,992784,5244634,2011234,1159059,2074342,5216226,2123475,1112651,1980100,1406488,302275,1104213,38568,46419,1019226
Maryland,Manufacturing,2021,2015600,20690617,18652471,1179574,5222528,2038618,1187160,1996749,5988765,2432548,1101794,2454423,1310977,263364,1047613,50463,27752,969398
Massachusetts,Manufacturing,2018,4735097,37982853,33095224,2324350,11094253,3908148,3034380,4151725,11856809,4142215,3106014,4608579,2400582,507099,1893483,121941,105616,1665927
Massachusetts,Manufacturing,2019,4810999,39739627,35434248,1908819,11931670,4511410,2851810,4568450,12732888,4871238,3092529,4769121,2535818,627104,1908714,167704,127742,1613268
Massachusetts,Manufacturing,2020,4720162,38635131,34547971,1759464,12460023,4781329,3004627,4674067,12290845,4491970,3048420,4750455,2530024,584666,1945357,154279,108385,1682694
Massachusetts,Manufacturing,2021,4935541,42678446,38069232,2037675,11982576,4306894,3010829,4664854,13866992,4755896,3559809,5551286,2792833,830428,1962405,75681,116425,1770299
Michigan,Manufacturing,2018,10934985,168730524,158512464,3601023,21450692,6445538,6437954,8567200,23878050,7144409,7130201,9603440,7452216,1012903,6439312,250242,234534,5954536
Michigan,Manufacturing,2019,11166219,163798237,154122405,3396089,23881679,7406547,7037028,9438104,23908718,7274786,6920105,9713827,6661802,941628,5720174,199596,194567,5326010
Michigan,Manufacturing,2020,10402729,137804938,129245372,2999486,23424188,7213263,6763511,9447415,23457433,7085561,6936180,9435693,5920194,1068077,4852117,185356,163048,4503714
Michigan,Manufacturing,2021,10916632,152683061,143746031,2926740,23601922,7088966,7009033,9503923,28333603,7994016,8312638,12026948,7096899,1376035,5720863,219218,227379,5274267
Minnesota,Manufacturing,2018,5200478,66613545,60535136,3035528,12535528,5081063,2396930,5057535,13443282,5285379,2590459,5567444,3188183,683045,2505139,175443,235850,2093846
Minnesota,Manufacturing,2019,5314694,67646232,62074769,2705197,13147406,5100710,2571418,5475277,13557129,5263284,2579810,5714035,3975602,1238553,2737049,184386,235072,2317591
Minnesota,Manufacturing,2020,5143977,62504252,57048263,2808255,13415724,5243552,2482425,5689747,13291165,4803902,2446624,6040639,4774856,1655017,3119839,171803,226312,2721724
Minnesota,Manufacturing,2021,5398268,75897553,69145658,3700245,13261898,4791842,2435872,6034184,15771627,5429055,3079647,7262925,4137948,1063356,3074592,110636,233601,2730354
Mississippi,Manufacturing,2018,2169057,40830350,38521966,764076,5288425,1897527,1069736,2321162,5875828,2055891,1229585,2590353,1925831,454486,1471345,42852,27791,1400702
Mississippi,Manufacturing,2019,2171898,39652090,37560237,632308,5766434,2028500,1196872,2541062,5874965,2055712,1187298,2631955,2271905,723079,1548826,75936,30064,1442826
Mississippi,Manufacturing,2020,2107654,34236716,32213685,642609,5773803,2054474,1146701,2572628,5581524,2008508,940044,2632973,1955117,366677,1588440,42465,27917,1518057
Mississippi,Manufacturing,2021,2230976,39480921,36980669,763081,5558052,1935929,1037489,2584634,6859667,2513836,1187713,3158118,1924334,330654,1593681,51641,30865,1511175
Missouri,Manufacturing,2018,4653428,69590892,65145870,2164311,10712206,3926777,2493503,4291926,11104192,4172893,2262087,4669211,2931814,570503,2361312,141425,85032,2134854
Missouri,Manufacturing,2019,4708677,67803929,63201303,2425734,11057568,4131379,2268000,4658188,11444660,4317534,2445111,4682015,3041019,562068,2478951,108128,81107,2289716
Missouri,Manufacturing,2020,4672582,66783968,62693639,2011228,11560527,4331668,2464136,4764723,12030083,4366314,2554672,5109096,2723431,477872,2245558,140591,65858,2039109
Missouri,Manufacturing,2021,4869480,70188767,65959279,1940724,11934078,4294475,2577105,5062498,13366456,4673109,2966520,5726826,2950524,546895,2403630,127701,84525,2191404
Montana,Manufacturing,2018,301375,7524113,7052966,125114,1460226,581874,336585,541767,1599656,584383,439741,575533,351898,65793,286105,12881,5271,267953
Montana,Manufacturing,2019,304996,7560567,6935971,123785,1561960,NA,NA,559426,1656021,713148,378833,564040,261270,40610,220660,12751,5126,202783
Montana,Manufacturing,2020,301027,6531854,6056589,94432,1560094,667446,316506,576142,1737340,766828,437806,532706,244258,28858,215400,7936,4170,203294
Montana,Manufacturing,2021,313319,9653759,9082767,125503,1751147,766534,440741,543872,1864777,844012,394766,625999,393003,78127,314875,9501,7397,297977
Nebraska,Manufacturing,2018,1427538,35846135,33691178,1128844,3890111,1647453,727496,1515162,4319022,1814560,867670,1636792,1352226,257148,1095077,64925,44794,985359
Nebraska,Manufacturing,2019,1444247,35341456,33277009,1062705,4270171,1816561,850854,1602756,4441992,1880210,853374,1708408,1068668,213318,855350,44279,33325,777745
Nebraska,Manufacturing,2020,1424742,35225315,33239486,1054758,4482949,1903408,850105,1729436,4504774,1783534,871470,1849769,1114827,184601,930225,33381,49959,846885
Nebraska,Manufacturing,2021,1518071,40440982,38153284,1162119,4514587,1800603,876723,1837261,5466004,2194493,1009990,2261521,1302179,245428,1056751,34206,58864,963681
Nevada,Manufacturing,2018,729838,8491932,7811661,295671,1755631,621571,320813,813248,2021292,748746,319023,953523,531136,83336,447800,52705,39163,355932
Nevada,Manufacturing,2019,761569,8760844,8138436,264578,1917854,684329,311454,922071,2036150,700413,419899,915838,477206,71884,405322,24305,42395,338623
Nevada,Manufacturing,2020,751242,8653523,8109202,227217,2042577,713346,410809,918422,2022116,738109,346418,937589,518103,69856,448247,44632,28526,375089
Nevada,Manufacturing,2021,813292,9523949,8926516,250243,1991491,NA,NA,906251,2408219,907229,378706,1122284,483516,97002,386513,41483,25477,319554
New Hampshire,Manufacturing,2018,1149705,10393171,9251528,545279,2745816,898591,711593,1135632,3031425,1005136,786564,1239725,570214,91431,478783,22323,27236,429224
New Hampshire,Manufacturing,2019,1182827,10382953,9202356,581129,2942491,1026799,725907,1189785,3029332,1076983,743395,1208954,564037,115710,448327,21539,28602,398185
New Hampshire,Manufacturing,2020,1132868,9722754,8735111,462907,2954866,1044686,736769,1173411,2989452,1037975,735129,1216348,636226,129723,506504,20306,29857,456340
New Hampshire,Manufacturing,2021,1208834,10870731,9765182,557098,3026931,1045231,742070,1239630,3509468,1188616,851235,1469618,702754,166389,536365,19112,27725,489528
New Jersey,Manufacturing,2018,3997850,50818533,44294720,3735343,13560628,6526496,2459927,4574205,14446845,7130243,2494530,4822072,2378243,452191,1926052,96400,95445,1734207
New Jersey,Manufacturing,2019,4001148,50381964,44197056,3291403,14004999,6933336,2473666,4597997,14766970,7170553,2993112,4603306,4223508,719444,3504063,101715,104741,3297608
New Jersey,Manufacturing,2020,3838658,45133836,39940735,2805647,14602253,7116751,2955373,4530130,14794408,7228838,2732791,4832779,2770950,701001,2069949,111248,85637,1873064
New Jersey,Manufacturing,2021,3837055,50784874,45112391,3225958,14406161,6884511,2743559,4778091,15441246,7203308,2726684,5511253,2981681,758315,2223365,162562,71483,1989321
New Mexico,Manufacturing,2018,389285,9386858,8471230,521855,1407914,615370,357787,434757,1472826,651886,363937,457003,841734,125453,716281,11261,6194,698826
New Mexico,Manufacturing,2019,386850,9692463,8862308,420646,1552240,725834,390613,435793,1565110,711268,400802,453040,709119,68549,640570,11413,7597,621560
New Mexico,Manufacturing,2020,378475,8094306,7457271,345695,1518986,736519,384860,397608,1506230,750295,378141,377794,719809,62786,657023,13171,6050,637802
New Mexico,Manufacturing,2021,413043,9681903,8849789,469990,1498306,NA,NA,368897,1759265,841060,452106,466099,597364,108545,488819,14019,10573,464227
New York,Manufacturing,2018,6929189,75261578,66282085,4063848,19463423,7239551,4828153,7395719,21219165,7701425,5130012,8387728,3778926,842855,2936070,130972,195691,2609407
New York,Manufacturing,2019,6995718,75476888,65296603,3547629,21751585,7816273,5496755,8438556,21658023,7949972,5631284,8076767,4138785,782821,3355963,152971,334501,2868491
New York,Manufacturing,2020,6749127,68748966,61297405,3242309,21458487,7874952,5528063,8055472,21530915,7574679,5761577,8194659,3919141,911757,3007384,149216,312387,2545780
New York,Manufacturing,2021,7060343,75880705,67829441,3469616,21438928,7517022,5756878,8165028,23792377,8161908,6085302,9545167,4103688,1078826,3024862,144110,306304,2574448
North Carolina,Manufacturing,2018,6746341,101326376,90780007,7074692,20599974,8218870,3674277,8706826,22599388,9809107,3698020,9092261,6867771,1220289,5647482,284658,208862,5153962
North Carolina,Manufacturing,2019,6838251,99521086,89473444,6618521,22375171,9725906,3692927,8956338,23906305,10748992,3893819,9263495,6796205,1218606,5577599,319482,195869,5062248
North Carolina,Manufacturing,2020,6727546,90049775,80210192,5992497,23939219,10841851,3861609,9235759,25996848,13115402,3702210,9179236,5570909,1348442,4222467,153982,131407,3937077
North Carolina,Manufacturing,2021,7169770,102627287,91887876,6476150,26139324,13105763,3727626,9305935,28688280,12921553,4292027,11474700,6725054,1479924,5245130,192659,139518,4912953
North Dakota,Manufacturing,2018,450406,9453268,8566263,575937,1665968,763872,202072,700025,1772034,741813,224034,806187,321619,47033,274587,17093,13759,243735
