Geographic_Area_Name,NAICS_Description,Year,Total_Fringe_Benefits,Total_Materials_Cost,Cost_Materials_Used,Cost_Resales,Inventories_Beginning_Year,Finished_Goods_Beginning,Work_In_Process_Beginning,Materials_Supplies_Beginning,Inventories_End_Year,Finished_Goods_End,Work_In_Process_End,Materials_Supplies_End,Total_Capital_Expenditures,Capital_Buildings,Capital_Machinery,Capital_Automobiles,Capital_Computers,Capital_Other
Texas,Manufacturing,2019,15814106,362027079,335274361,13437706,51788946,21093304,12447586,18248056,53151785,21051227,12879887,19220671,19555850,3241687,16314162,456054,556533,15301575
Texas,Manufacturing,2020,15512662,280380829,259992894,9718891,53286612,21335884,12821640,19129088,49960551,19614568,11907283,18438700,18490720,3727103,14763617,505489,455748,13802380
Texas,Manufacturing,2021,16168858,385722552,356783569,14009086,49792197,19439174,11973101,18379921,59036656,23972859,12902459,22161338,17338879,3590897,13747982,485482,434420,12828081
Utah,Manufacturing,2018,2091929,33972087,31349678,1437459,5898468,2155374,1277724,2465369,6315802,2283771,1299909,2732122,2869267,536937,2332330,53517,67660,2211153
Utah,Manufacturing,2019,2177081,30259338,27846205,1250206,6385709,2273171,1416425,2696113,6365318,2279476,1414736,2671106,1847293,301361,1545932,47362,49697,1448874
Utah,Manufacturing,2020,2196924,28541019,26173259,1196847,6263120,2301290,1431793,2530038,6572352,2399476,1491437,2681439,1960294,530923,1429371,44482,43227,1341663
Utah,Manufacturing,2021,2327869,33911281,31422691,1237989,6604365,2410447,1506974,2686943,7505593,2545885,1703059,3256648,1942888,550511,1392377,44596,37961,1309820
Vermont,Manufacturing,2018,560749,4271297,3915286,74534,1013404,340383,222288,450734,1259345,419317,308991,531037,313595,69329,244266,9468,22035,212762
Vermont,Manufacturing,2019,526053,4421177,4003527,136960,1342479,NA,NA,595699,1382617,486591,342073,553953,231696,34773,196923,7776,8101,181045
Vermont,Manufacturing,2020,531214,4335158,3938602,125162,1381504,482074,345727,553703,1358578,452385,360057,546135,248929,52253,196677,21337,7245,168094
