"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS Code (NAICS2017_LABEL)","Year (YEAR)","Total fringe benefits ($1,000) (BENEFIT)","Relative standard error for estimate of total fringe benefits (%) (BENEFIT_S)","Total cost of materials ($1,000) (CSTMTOT)","Relative standard error for estimate of total cost of materials  (%) (CSTMTOT_S)","Cost of materials, packaging, etc. used ($1,000) (CSTMPRT)","Relative standard error for estimate of cost of materials, packaging, etc. used(%) (CSTMPRT_S)","Cost of resales ($1,000) (CSTRSL)","Relative standard error for estimate of cost of resales (%) (CSTRSL_S)","Cost of purchased fuels consumed ($1,000) (CSTFU)","Relative standard error for estimate of cost of purchased fuels consumed (%) (CSTFU_S)","Cost of purchased electricity ($1,000) (CSTELEC)","Relative standard error for estimate of cost of purchased electricity (%) (CSTELEC_S)","Cost of contract work ($1,000) (CSTCNT)","Relative standard error for estimate of cost of contract work (%) (CSTCNT_S)","Quantity of electricity purchased for heat and power (1,000 kWh) (ELECPCH)","Relative standard error for estimate of quantity of electricity purchased for heat and power (%) (ELECPCH_S)","Quantity of generated electricity (1,000 kWh) (ELECGEN)","Relative standard error for estimate of quantity of generated electricity (%) (ELECGEN_S)","Quantity of electricity sold or transferred (1,000 kWh) (ELECSLD)","Relative standard error for estimate of quantity of electricity sold or transferred (%) (ELECSLD_S)","Total inventories, beginning of year ($1,000) (INVTOTB)","Relative standard error for estimate of total inventories, beginning of year (%) (INVTOTB_S)","Finished goods inventories, beginning of year ($1,000) (INVFINB)","Relative standard error for estimate of finished goods inventories, beginning of year (%) (INVFINB_S)","Work-in-process inventories, beginning of year ($1,000) (INVWIPB)","Relative standard error for estimate of work-in-process inventories, beginning of year (%) (INVWIPB_S)","Materials and supplies inventories, beginning of year ($1,000) (INVMATB)","Relative standard error for estimate of materials and supplies inventories, beginning of year (%) (INVMATB_S)","Total inventories, end of year ($1,000) (INVTOTE)","Relative standard error for estimate of total inventories, end of year (%) (INVTOTE_S)","Finished goods inventories, end of year ($1,000) (INVFINE)","Relative standard error for estimate of finished goods inventories, end of year (%) (INVFINE_S)","Work-in-process inventories, end of year ($1,000) (INVWIPE)","Relative standard error for estimate of work-in-process inventories, end of year (%) (INVWIPE_S)","Materials and supplies inventories, end of year ($1,000) (INVMATE)","Relative standard error for estimate of materials and supplies inventories, end of year  (%) (INVMATE_S)","Total capital expenditures (new and used) ($1,000) (CEXTOT)","Relative standard error for estimate of total capital expenditures (new and used)  (%) (CEXTOT_S)","Capital expenditures for buildings and other structures ($1,000) (CEXBLD)","Relative standard error for estimate of capital expenditures for buildings and other structures (%) (CEXBLD_S)","Capital expenditures for machinery and equipment ($1,000) (CEXMCH)","Relative standard error for estimate of capital expenditures for machinery and equipment (%) (CEXMCH_S)","Capital expenditures for automobiles, trucks, etc. for highway use ($1,000) (CEXMCHA)","Relative standard error for estimate of capital expenditures for automobiles, trucks, etc. for highway use (%) (CEXMCHA_S)","Capital expenditures for computers and peripheral data processing equipment ($1,000) (CEXMCHC)","Relative standard error for estimate of capital expenditures for computers and peripheral data processing equipment (%)  (CEXMCHC_S)","Capital expenditures for all other machinery and equipment ($1,000) (CEXMCHO)","Relative standard error for estimate of capital expenditures for all other machinery and equipment (%) (CEXMCHO_S)"
"Nevada","31-33","Manufacturing","2021","813,292","2.0","9,523,949","1.6","8,926,516","1.6","250,243","5.8","105,984","1.8","139,545","1.0","101,662","8.3","2,291,514","0.8","0","X","0","X","1,991,491","1.7","D","D","D","D","906,251","3.0","2,408,219","1.7","907,229","1.8","378,706","1.2","1,122,284","2.6","483,516","6.5","97,002","21.9","386,513","5.2","41,483","4.3","25,477","1.6","319,554","6.1"
"New Hampshire","31-33","Manufacturing","2018","1,149,705","0.6","10,393,171","0.4","9,251,528","0.4","545,279","2.2","110,697","0.7","189,132","1.6","296,535","2.5","1,682,307","1.8","36,262","2.2","D","D","2,745,816","0.9","898,591","2.2","711,593","1.2","1,135,632","0.7","3,031,425","0.7","1,005,136","1.5","786,564","1.7","1,239,725","0.6","570,214","1.8","91,431","5.9","478,783","1.3","22,323","14.9","27,236","2.8","429,224","1.1"
"New Hampshire","31-33","Manufacturing","2019","1,182,827","0.5","10,382,953","0.4","9,202,356","0.4","581,129","0.8","101,810","0.8","193,818","2.3","303,841","1.7","1,725,830","2.3","7,463","12.1","D","D","2,942,491","0.9","1,026,799","2.2","725,907","1.2","1,189,785","1.1","3,029,332","0.7","1,076,983","2.1","743,395","1.0","1,208,954","0.9","564,037","3.6","115,710","13.5","448,327","1.7","21,539","15.6","28,602","1.6","398,185","1.6"
"New Hampshire","31-33","Manufacturing","2020","1,132,868","0.8","9,722,754","0.7","8,735,111","0.7","462,907","1.1","79,545","1.1","177,450","2.4","267,740","2.2","1,572,907","2.5","6,666","14.4","D","D","2,954,866","1.0","1,044,686","2.2","736,769","1.6","1,173,411","1.0","2,989,452","0.8","1,037,975","2.0","735,129","1.1","1,216,348","1.3","636,226","3.4","129,723","12.3","506,504","1.6","20,306","11.6","29,857","1.6","456,340","1.4"
"New Hampshire","31-33","Manufacturing","2021","1,208,834","0.9","10,870,731","0.7","9,765,182","0.8","557,098","1.1","83,431","1.6","191,744","2.3","273,277","2.2","1,683,465","2.4","D","D","D","D","3,026,931","1.0","1,045,231","2.1","742,070","1.5","1,239,630","1.3","3,509,468","1.0","1,188,616","2.8","851,235","1.0","1,469,618","1.4","702,754","3.7","166,389","11.4","536,365","2.0","19,112","12.8","27,725","4.2","489,528","1.7"
"New Jersey","31-33","Manufacturing","2018","3,997,850","1.0","50,818,533","0.4","44,294,720","0.5","3,735,343","0.6","482,292","0.7","799,186","0.8","1,506,992","0.7","8,437,670","0.7","319,826","0.6","D","D","13,560,628","0.4","6,526,496","0.6","2,459,927","0.5","4,574,205","0.6","14,446,845","0.5","7,130,243","0.6","2,494,530","1.1","4,822,072","1.2","2,378,243","2.9","452,191","5.7","1,926,052","2.9","96,400","4.5","95,445","4.2","1,734,207","3.0"
"New Jersey","31-33","Manufacturing","2019","4,001,148","1.0","50,381,964","1.3","44,197,056","1.6","3,291,403","11.1","500,992","2.5","811,160","0.6","1,581,352","4.5","9,092,383","0.5","285,551","0.5","D","D","14,004,999","0.6","6,933,336","0.8","2,473,666","0.8","4,597,997","0.8","14,766,970","0.8","7,170,553","1.2","2,993,112","0.7","4,603,306","0.9","4,223,508","2.1","719,444","6.3","3,504,063","1.5","101,715","4.2","104,741","3.0","3,297,608","1.5"
"New Jersey","31-33","Manufacturing","2020","3,838,658","2.3","45,133,836","1.5","39,940,735","1.9","2,805,647","13.1","440,745","2.8","797,847","1.0","1,148,864","10.7","8,695,828","0.8","271,807","0.5","38,954","0.0","14,602,253","0.9","7,116,751","1.4","2,955,373","0.8","4,530,130","1.1","14,794,408","1.4","7,228,838","2.5","2,732,791","1.2","4,832,779","1.1","2,770,950","4.7","701,001","10.1","2,069,949","3.2","111,248","4.1","85,637","6.1","1,873,064","3.4"
"New Jersey","31-33","Manufacturing","2021","3,837,055","0.9","50,784,874","1.3","45,112,391","1.3","3,225,958","11.3","522,474","2.3","856,187","0.9","1,067,864","1.8","9,174,348","0.7","281,197","0.5","41,985","0.0","14,406,161","1.3","6,884,511","2.3","2,743,559","1.3","4,778,091","1.1","15,441,246","1.0","7,203,308","1.6","2,726,684","1.3","5,511,253","1.0","2,981,681","2.2","758,315","4.6","2,223,365","2.2","162,562","3.4","71,483","1.9","1,989,321","2.3"
"New Mexico","31-33","Manufacturing","2018","389,285","0.7","9,386,858","0.3","8,471,230","0.3","521,855","1.7","134,569","0.4","162,199","0.5","97,004","8.1","2,544,892","0.8","D","D","0","X","1,407,914","0.3","615,370","0.4","357,787","0.4","434,757","0.7","1,472,826","1.1","651,886","2.3","363,937","0.5","457,003","0.6","841,734","1.2","125,453","0.8","716,281","1.3","11,261","16.5","6,194","5.4","698,826","1.2"
"New Mexico","31-33","Manufacturing","2019","386,850","1.6","9,692,463","0.2","8,862,308","0.3","420,646","4.0","137,843","0.8","163,555","1.1","108,110","0.9","2,507,596","1.1","D","D","0","X","1,552,240","0.3","725,834","1.1","390,613","0.3","435,793","1.8","1,565,110","0.5","711,268","0.9","400,802","1.2","453,040","2.1","709,119","0.8","68,549","6.7","640,570","0.4","11,413","6.8","7,597","3.9","621,560","0.4"
"New Mexico","31-33","Manufacturing","2020","378,475","1.3","8,094,306","0.5","7,457,271","0.6","345,695","9.6","68,774","1.6","137,030","1.4","85,536","0.9","2,117,351","1.3","D","D","0","X","1,518,986","1.2","736,519","2.6","384,860","1.1","397,608","2.5","1,506,230","3.8","750,295","3.9","378,141","6.2","377,794","3.8","719,809","0.5","62,786","0.8","657,023","0.5","13,171","8.4","6,050","5.2","637,802","0.4"
"New Mexico","31-33","Manufacturing","2021","413,043","1.5","9,681,903","0.8","8,849,789","0.8","469,990","7.3","91,760","1.8","156,833","1.4","113,531","1.6","2,306,779","1.4","1,597 (s)","97.3","0","X","1,498,306","3.9","D","D","D","D","368,897","3.5","1,759,265","3.6","841,060","3.7","452,106","5.6","466,099","3.2","597,364","2.4","108,545","5.4","488,819","2.7","14,019","13.3","10,573","4.6","464,227","2.5"
"New York","31-33","Manufacturing","2018","6,929,189","0.4","75,261,578","0.6","66,282,085","0.6","4,063,848","1.3","734,159","6.2","1,201,483","0.5","2,980,003","1.0","20,339,256","0.5","442,025","2.5","D","D","19,463,423","0.3","7,239,551","0.6","4,828,153","0.4","7,395,719","0.4","21,219,165","0.3","7,701,425","0.5","5,130,012","0.4","8,387,728","0.4","3,778,926","4.2","842,855","3.7","2,936,070","5.1","130,972","3.7","195,691","3.9","2,609,407","5.7"
"New York","31-33","Manufacturing","2019","6,995,718","0.4","75,476,888","0.3","65,296,603","0.3","3,547,629","2.3","700,826","0.8","1,223,671","0.8","4,708,159","1.0","21,016,208","0.8","403,221","0.2","D","D","21,751,585","0.5","7,816,273","0.8","5,496,755","0.8","8,438,556","0.6","21,658,023","0.4","7,949,972","0.8","5,631,284","0.7","8,076,767","0.6","4,138,785","1.3","782,821","1.9","3,355,963","1.4","152,971","4.2","334,501","1.1","2,868,491","1.6"
"New York","31-33","Manufacturing","2020","6,749,127","0.5","68,748,966","0.3","61,297,405","0.4","3,242,309","2.7","626,424","0.7","1,136,644","0.8","2,446,183","2.1","18,794,216","0.9","356,420","0.1","D","D","21,458,487","0.6","7,874,952","0.9","5,528,063","0.8","8,055,472","1.0","21,530,915","0.5","7,574,679","1.0","5,761,577","0.7","8,194,659","0.8","3,919,141","1.5","911,757","2.1","3,007,384","1.7","149,216","5.0","312,387","0.6","2,545,780","1.9"
"New York","31-33","Manufacturing","2021","7,060,343","0.5","75,880,705","0.4","67,829,441","0.4","3,469,616","2.6","708,142","0.7","1,280,850","1.0","2,592,656","2.1","20,293,210","1.2","490,296","0.1","D","D","21,438,928","0.6","7,517,022","1.0","5,756,878","0.8","8,165,028","1.0","23,792,377","0.5","8,161,908","1.0","6,085,302","0.8","9,545,167","0.8","4,103,688","1.4","1,078,826","2.3","3,024,862","1.5","144,110","5.6","306,304","0.8","2,574,448","1.6"
"North Carolina","31-33","Manufacturing","2018","6,746,341","0.4","101,326,376","0.7","90,780,007","0.7","7,074,692","1.3","708,239","0.9","1,676,184","0.4","1,087,253","1.2","26,412,040","0.3","1,790,323","0.1","279,424","0.9","20,599,974","0.4","8,218,870","0.6","3,674,277","0.8","8,706,826","0.4","22,599,388","0.6","9,809,107","0.6","3,698,020","0.7","9,092,261","1.1","6,867,771","2.0","1,220,289","3.9","5,647,482","2.0","284,658","21.5","208,862","5.1","5,153,962","1.7"
"North Carolina","31-33","Manufacturing","2019","6,838,251","0.3","99,521,086","0.4","89,473,444","0.4","6,618,521","0.8","698,855","1.3","1,657,788","0.5","1,072,478","1.3","26,274,008","0.4","D","D","D","D","22,375,171","0.5","9,725,906","0.5","3,692,927","0.8","8,956,338","0.9","23,906,305","0.7","10,748,992","0.7","3,893,819","0.7","9,263,495","1.7","6,796,205","0.8","1,218,606","2.4","5,577,599","0.7","319,482","3.1","195,869","0.8","5,062,248","0.7"
"North Carolina","31-33","Manufacturing","2020","6,727,546","0.4","90,049,775","0.5","80,210,192","0.5","5,992,497","0.9","653,372","1.4","1,536,185","0.6","1,657,529","1.3","24,274,288","0.5","D","D","D","D","23,939,219","0.8","10,841,851","0.8","3,861,609","0.8","9,235,759","1.7","25,996,848","0.7","13,115,402","0.6","3,702,210","0.9","9,179,236","1.6","5,570,909","1.3","1,348,442","2.5","4,222,467","1.4","153,982","5.5","131,407","1.5","3,937,077","1.5"
"North Carolina","31-33","Manufacturing","2021","7,169,770","0.5","102,627,287","0.6","91,887,876","0.6","6,476,150","0.8","760,054","1.1","1,653,705","0.8","1,849,503","1.3","26,168,626","0.7","D","D","D","D","26,139,324","0.7","13,105,763","0.6","3,727,626","0.9","9,305,935","1.7","28,688,280","1.0","12,921,553","0.9","4,292,027","0.8","11,474,700","2.0","6,725,054","3.7","1,479,924","8.0","5,245,130","3.4","192,659","7.4","139,518","2.6","4,912,953","3.6"
"North Dakota","31-33","Manufacturing","2018","450,406","1.3","9,453,268","0.2","8,566,263","0.2","575,937","0.5","90,192","0.1","133,615","0.4","87,261","12.1","1,788,948","0.4","D","D","D","D","1,665,968","1.1","763,872","0.5","202,072","1.5","700,025","2.0","1,772,034","0.8","741,813","0.3","224,034","1.3","806,187","1.3","321,619","3.1","47,033","2.0","274,587","3.5","17,093","1.2","13,759","34.0","243,735","3.2"
"North Dakota","31-33","Manufacturing","2019","444,468","0.6","8,815,792","0.4","7,680,127","0.5","795,579","0.4","86,810","1.5","158,261","0.3","95,016","4.8","2,278,650","0.2","D","D","D","D","1,588,585","0.8","604,686","1.5","164,612","1.5","819,287","0.8","1,582,560","0.4","573,578","2.5","215,063","4.6","793,918","1.1","579,323","2.1","40,019","7.7","539,304","1.9","15,669","7.8","7,048","3.3","516,586","1.8"
"North Dakota","31-33","Manufacturing","2020","422,354","0.8","7,776,555","0.6","6,763,099","0.6","704,551","0.7","80,754","1.6","147,476","0.5","80,675","5.7","2,064,277","0.4","D","D","D","D","1,530,166","0.9","547,125","3.4","207,591","4.9","775,450","1.2","1,621,739","1.0","620,528","3.0","182,509","4.4","818,702","1.4","1,221,419","1.0","78,672","5.2","1,142,746","0.8","13,970","10.2","7,135","3.4","1,121,642","0.7"
"North Dakota","31-33","Manufacturing","2021","472,674","0.7","11,399,614","0.5","9,976,420","0.5","988,617","0.6","117,054","1.1","217,018","0.5","100,506","6.5","2,988,792","0.4","D","D","D","D","1,566,823","1.3","D","D","D","D","787,836","1.4","2,281,019","0.8","D","D","D","D","1,289,886","1.0","305,374","2.6","47,332","6.8","258,042","2.1","7,986","13.5","5,673","4.4","244,382","1.9"
"Ohio","31-33","Manufacturing","2018","12,196,680","0.4","187,771,353","0.3","173,217,086","0.4","7,097,453","1.0","1,461,621","0.6","2,967,796","0.7","3,027,396","1.1","41,209,056","0.6","690,676","1.9","357,497","0.0","32,171,237","0.5","12,709,414","1.0","6,907,409","0.3","12,554,415","0.5","34,277,711","0.9","13,399,714","1.2","7,671,843","2.9","13,206,153","0.6","9,396,863","2.7","1,536,316","2.2","7,860,548","3.0","376,745","6.3","313,097","5.1","7,170,706","3.1"
"Ohio","31-33","Manufacturing","2019","12,350,218","0.6","184,828,837","0.3","169,660,626","0.3","7,951,953","0.9","1,365,187","0.8","2,783,823","1.0","3,067,248","1.7","40,141,859","1.2","1,023,087","2.6","341,693","0.4","33,487,366","0.5","12,911,083","0.7","7,343,514","0.7","13,232,769","0.6","33,771,402","0.6","12,939,642","1.0","7,408,696","0.9","13,423,064","0.7","9,294,592","1.0","1,544,630","2.1","7,749,962","1.0","313,900","9.1","248,233","1.5","7,187,829","1.0"
"Ohio","31-33","Manufacturing","2020","11,809,475","0.6","162,765,574","0.3","150,327,929","0.4","6,505,554","1.3","1,088,416","0.9","2,388,831","1.0","2,454,845","1.5","36,450,388","1.3","970,457","1.7","777,953","0.3","33,509,193","0.6","12,874,645","1.0","7,313,178","1.0","13,321,369","0.8","33,017,373","0.6","12,603,988","1.0","6,825,550","1.0","13,587,836","0.7","8,495,845","1.1","1,632,746","2.0","6,863,099","1.1","277,086","5.1","231,894","2.1","6,354,119","1.1"
"Ohio","31-33","Manufacturing","2021","12,258,880","0.6","181,937,235","0.3","168,002,271","0.4","7,320,961","1.7","1,416,480","0.8","2,619,263","1.1","2,578,260","1.7","38,592,930","1.3","888,566","1.4","786,332","0.5","32,918,722","0.7","12,544,317","1.1","6,787,736","1.1","13,586,669","0.8","39,987,147","0.5","14,456,887","0.7","8,715,660","0.5","16,814,599","0.8","9,818,916","1.3","1,671,110","2.0","8,147,805","1.3","261,065","5.3","204,180","2.6","7,682,561","1.3"
"Oklahoma","31-33","Manufacturing","2018","2,071,049","0.4","42,961,022","0.3","38,011,553","0.3","3,237,687","0.9","416,580","0.6","528,303","0.4","766,898","2.4","10,141,976","0.4","D","D","D","D","7,084,742","0.9","2,934,603","1.5","1,509,830","1.3","2,640,309","0.9","7,765,408","1.0","3,214,220","1.1","1,610,597","1.0","2,940,590","1.6","1,673,386","1.7","262,380","2.8","1,411,006","1.7","110,237","4.3","34,338","3.0","1,266,431","1.7"
"Oklahoma","31-33","Manufacturing","2019","2,172,661","0.6","39,738,520","0.3","35,104,545","0.3","2,899,664","0.4","436,005","0.6","529,542","0.6","768,764","1.8","10,085,658","0.4","D","D","D","D","7,603,617","0.7","3,217,905","1.1","1,543,530","1.1","2,842,183","1.4","7,735,416","0.7","3,265,490","0.8","1,599,455","1.2","2,870,471","1.5","2,000,362","1.1","316,203","3.4","1,684,159","0.9","91,020","3.8","37,223","1.9","1,555,916","0.9"
"Oklahoma","31-33","Manufacturing","2020","1,963,515","1.0","30,789,057","0.4","27,049,391","0.5","2,392,346","0.6","317,520","0.6","439,381","0.6","590,419","2.7","9,112,079","0.5","D","D","D","D","7,429,781","0.8","3,053,491","1.1","1,544,539","1.3","2,831,751","1.6","6,713,737","0.8","2,810,088","1.0","1,288,734","1.3","2,614,914","1.6","1,800,549","4.5","353,183","4.5","1,447,366","5.3","105,198","27.9","45,024","3.2","1,297,143","3.6"
"Oklahoma","31-33","Manufacturing","2021","1,984,455","1.0","39,690,014","0.4","35,012,193","0.4","3,137,521","0.5","534,360","0.6","503,706","0.7","502,233","3.4","9,679,998","0.5","D","D","D","D","6,608,377","1.0","2,760,358","1.3","1,262,202","1.1","2,585,817","1.8","7,676,544","0.7","3,198,590","0.8","1,500,357","1.1","2,977,597","1.3","1,866,369","3.2","283,706","7.6","1,582,663","3.0","69,444","10.0","39,571","4.1","1,473,648","3.0"
"Oregon","31-33","Manufacturing","2018","3,459,688","0.5","33,612,469","0.6","29,815,610","0.6","1,240,464","4.3","337,868","1.6","1,484,084","0.4","734,443","1.5","28,025,850","0.3","172,780","0.5","139,828","0.0","7,829,971","1.3","2,420,268","4.0","2,120,358","0.8","3,289,345","0.4","8,627,479","0.5","2,786,291","1.2","2,262,673","0.5","3,578,515","0.4","2,955,329","1.7","492,642","4.8","2,462,687","1.5","90,490","13.1","115,094","10.6","2,257,103","1.3"
"Oregon","31-33","Manufacturing","2019","3,703,492","0.4","34,830,571","0.5","31,016,563","0.5","1,141,140","3.4","366,879","1.0","1,507,795","0.2","798,195","2.2","28,740,343","0.1","175,595","0.1","D","D","8,768,218","1.7","2,828,396","3.4","2,343,619","4.2","3,596,203","0.6","8,889,429","0.7","3,052,748","1.4","2,336,531","1.1","3,500,150","0.6","2,626,253","1.2","399,932","2.0","2,226,322","1.3","66,273","12.4","90,918","4.7","2,069,130","1.2"
"Oregon","31-33","Manufacturing","2020","3,407,318","0.5","32,208,708","0.6","28,564,841","0.6","1,126,229","3.2","324,547","1.4","1,539,364","0.2","653,727","5.1","29,704,514","0.2","146,990","0.1","D","D","8,706,563","1.7","3,083,223","3.4","2,357,288","3.7","3,266,052","0.8","8,845,582","1.0","3,081,635","1.8","2,353,354","2.0","3,410,593","0.8","2,637,011","1.4","407,637","5.6","2,229,374","1.1","59,458","4.5","85,857","3.5","2,084,059","1.2"
"Oregon","31-33","Manufacturing","2021","3,440,409","0.7","35,887,416","0.6","32,028,364","0.6","1,229,743","3.4","384,414","1.6","1,586,096","0.2","658,799","4.4","29,332,477","0.2","157,024","0.1","135,291","0.1","8,703,449","2.0","3,020,826","3.9","2,404,658","4.4","3,277,964","0.9","9,708,140","0.9","3,306,020","1.6","2,585,743","1.4","3,816,376","1.0","2,518,837","1.2","405,232","3.6","2,113,605","1.0","59,389","6.0","94,167","2.8","1,960,049","1.0"
"Pennsylvania","31-33","Manufacturing","2018","9,857,645","0.3","123,759,302","0.2","113,262,133","0.2","4,112,354","1.4","1,180,722","0.7","1,989,032","0.3","3,215,061","0.6","30,325,070","0.3","1,802,691","0.3","209,727","0.1","28,041,158","0.3","11,271,257","0.6","6,810,226","0.5","9,959,675","0.4","29,323,995","0.3","11,818,268","0.4","6,616,966","0.4","10,888,761","0.4","6,374,035","1.4","1,092,907","3.9","5,281,127","1.4","304,009","4.8","287,964","11.9","4,689,154","1.3"
"Pennsylvania","31-33","Manufacturing","2019","9,962,904","0.3","115,054,123","0.3","104,714,470","0.3","4,346,806","2.9","1,148,246","0.7","1,864,504","2.0","2,980,097","0.9","28,604,919","2.6","2,211,784","0.1","270,777","0.0","28,787,975","0.4","11,921,034","0.7","6,615,964","0.6","10,250,977","0.5","29,183,454","0.4","11,790,729","0.6","6,889,020","0.6","10,503,705","0.5","6,138,144","1.4","1,090,489","2.3","5,047,655","1.4","208,495","3.0","217,629","1.1","4,621,531","1.5"
"Pennsylvania","31-33","Manufacturing","2020","9,306,659","0.4","102,695,981","0.4","93,363,090","0.4","4,052,550","2.9","958,149","1.0","1,599,698","0.8","2,722,495","1.3","24,919,577","0.6","1,645,177","0.1","233,700","0.1","28,955,798","0.6","11,572,443","0.8","6,918,740","1.3","10,464,615","0.7","28,980,854","0.5","11,560,937","0.6","6,866,235","1.2","10,553,683","0.6","5,548,558","1.8","1,230,632","3.1","4,317,926","1.8","212,166","7.8","195,155","2.8","3,910,605","1.8"
"Pennsylvania","31-33","Manufacturing","2021","9,630,828","0.4","119,357,177","0.4","108,842,297","0.4","4,580,133","2.9","1,098,200","1.0","1,818,701","1.0","3,017,845","1.5","27,623,147","0.9","1,563,631","0.2","218,598","0.1","29,019,597","0.5","11,629,335","0.7","6,841,950","1.2","10,548,312","0.7","33,872,121","0.6","12,815,098","0.9","7,805,486","0.9","13,251,537","0.6","6,246,716","1.9","1,130,378","3.6","5,116,338","1.9","270,997","11.5","259,309","2.6","4,586,031","1.7"
"Rhode Island","31-33","Manufacturing","2018","761,952","0.4","6,314,453","0.3","5,747,418","0.3","219,341","2.2","57,882","1.3","112,247","0.5","177,565","1.6","857,226","0.9","D","D","0","X","1,806,599","0.6","511,163","1.9","613,816","0.6","681,620","0.7","1,988,773","0.5","547,887","1.4","676,504","0.5","764,382","0.9","464,862","2.9","129,008","3.8","335,854","3.5","13,663","9.3","9,465","4.4","312,725","3.5"
"Rhode Island","31-33","Manufacturing","2019","753,202","1.0","5,797,367","0.6","5,235,816","0.5","205,356","7.7","56,789","0.9","109,580","1.3","189,826","6.6","769,758","2.1","D","D","D","D","1,827,594","0.8","538,858","1.7","574,574","0.8","714,162","0.9","1,918,580","0.9","565,136","1.8","637,671","0.5","715,773","1.1","364,417","3.9","83,243","5.5","281,174","4.0","14,455","20.9","10,923","4.1","255,796","3.6"
"Rhode Island","31-33","Manufacturing","2020","727,141","1.0","5,911,412","0.8","5,493,125","0.7","147,879","11.1","52,767","1.7","99,865","2.1","117,777","11.3","766,105","2.6","D","D","D","D","1,898,590","1.1","551,161","2.3","590,916","0.8","756,513","1.1","1,919,965","0.9","570,324","1.7","581,623","0.8","768,018","1.1","399,049","4.3","73,056","11.1","325,993","3.1","12,245","18.6","9,821","4.2","303,926","2.5"
"Rhode Island","31-33","Manufacturing","2021","788,192","1.0","6,373,319","0.7","5,902,186","0.7","169,415","10.0","61,314","1.7","110,902","1.8","129,501","9.5","840,279","2.2","D","D","582 (s)","81.6","1,913,568","1.0","565,572","2.2","577,243","0.8","770,753","1.0","2,233,975","0.8","659,646","1.6","557,627","0.9","1,016,702","1.0","427,964","5.9","90,390","9.8","337,574","6.3","14,591","21.1","11,384","4.9","311,599","6.5"
"South Carolina","31-33","Manufacturing","2018","4,082,514","0.3","84,174,501","0.4","78,556,079","0.3","2,183,553","4.4","701,962","0.4","1,551,370","0.3","1,181,538","0.8","26,048,718","0.2","1,010,170","0.1","345,166","0.0","24,169,597","0.2","4,906,406","0.8","14,247,833","0.1","5,015,359","0.4","23,750,645","0.2","5,097,936","0.5","12,938,673","0.1","5,714,036","0.5","4,132,471","1.1","678,784","2.0","3,453,687","1.3","175,489","13.3","85,037","1.5","3,193,162","1.1"
"South Carolina","31-33","Manufacturing","2019","4,334,317","0.3","82,344,516","0.3","77,071,012","0.3","2,040,055","1.8","630,067","0.4","1,436,982","0.8","1,166,400","0.7","24,899,191","0.8","1,002,024","0.1","349,925","0.1","23,375,293","0.1","4,509,295","0.7","12,959,994","0.1","5,906,004","0.6","26,329,743","0.1","4,681,636","0.8","15,667,835","0.1","5,980,273","0.4","3,906,239","5.0","546,395","1.5","3,359,844","5.8","145,519","4.9","93,482","1.4","3,120,844","6.2"
"South Carolina","31-33","Manufacturing","2020","4,071,453","0.4","71,688,952","0.3","67,155,630","0.3","1,605,442","3.6","573,526","1.1","1,250,255","1.1","1,104,100","0.7","20,947,416","1.1","959,703","0.0","363,221","0.0","26,374,508","0.2","4,695,196","1.3","15,659,504","0.1","6,019,807","1.0","30,848,327","0.1","4,372,406","0.6","20,461,673","0.1","6,014,249","0.7","4,059,495","5.1","609,831","1.2","3,449,664","6.0","151,326","3.7","106,631","2.3","3,191,707","6.4"
"South Carolina","31-33","Manufacturing","2021","4,219,630","0.4","78,649,924","0.3","73,528,087","0.3","1,871,653","3.1","666,516","0.6","1,357,557","1.0","1,226,112","0.8","22,169,426","1.1","850,708","0.0","D","D","30,448,756","0.2","D","D","D","D","5,868,653","0.6","46,977,216","0.1","5,051,435","0.6","34,700,796","0.1","7,224,985","0.7","3,344,682","8.1","568,607","1.6","2,776,075","9.7","146,489","15.6","85,918","2.8","2,543,669","10.4"
"South Dakota","31-33","Manufacturing","2018","628,371","0.6","10,125,589","0.3","9,429,337","0.4","297,288","1.6","138,986","0.3","166,992","2.1","92,986","1.2","2,314,924","2.0","D","D","0","X","1,548,363","1.3","531,023","2.5","389,373","1.2","627,967","1.0","1,711,016","1.1","540,177","2.1","412,125","1.6","758,714","0.9","409,697","5.0","49,921","6.8","359,776","4.7","24,255","14.1","15,661","2.5","319,860","5.0"
"South Dakota","31-33","Manufacturing","2019","641,585","1.4","10,537,649","1.2","9,877,345","1.4","262,256","17.5","134,108","0.2","167,645","0.8","96,296","5.7","2,278,400","0.8","D","D","0","X","1,651,838","1.2","D","D","D","D","745,814","1.9","1,760,777","1.4","574,827","2.3","403,522","2.3","782,428","1.3","422,327","2.3","83,658","1.9","338,669","2.5","20,767","10.4","13,001","14.5","304,901","1.8"
"South Dakota","31-33","Manufacturing","2020","624,540","1.2","11,180,519","1.3","10,575,270","1.5","220,294","22.3","119,586","0.3","175,260","1.1","90,108","6.7","2,435,356","1.8","D","D","0","X","1,739,241","1.4","553,492","3.1","401,816","2.5","783,934","2.3","1,847,444","1.6","621,129","3.1","396,171","2.5","830,145","1.8","388,932","9.4","67,429","25.3","321,503","8.0","19,530","5.5","9,463","7.4","292,510","8.6"
