"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS Code (NAICS2017_LABEL)","Year (YEAR)","Total fringe benefits ($1,000) (BENEFIT)","Relative standard error for estimate of total fringe benefits (%) (BENEFIT_S)","Total cost of materials ($1,000) (CSTMTOT)","Relative standard error for estimate of total cost of materials  (%) (CSTMTOT_S)","Cost of materials, packaging, etc. used ($1,000) (CSTMPRT)","Relative standard error for estimate of cost of materials, packaging, etc. used(%) (CSTMPRT_S)","Cost of resales ($1,000) (CSTRSL)","Relative standard error for estimate of cost of resales (%) (CSTRSL_S)","Cost of purchased fuels consumed ($1,000) (CSTFU)","Relative standard error for estimate of cost of purchased fuels consumed (%) (CSTFU_S)","Cost of purchased electricity ($1,000) (CSTELEC)","Relative standard error for estimate of cost of purchased electricity (%) (CSTELEC_S)","Cost of contract work ($1,000) (CSTCNT)","Relative standard error for estimate of cost of contract work (%) (CSTCNT_S)","Quantity of electricity purchased for heat and power (1,000 kWh) (ELECPCH)","Relative standard error for estimate of quantity of electricity purchased for heat and power (%) (ELECPCH_S)","Quantity of generated electricity (1,000 kWh) (ELECGEN)","Relative standard error for estimate of quantity of generated electricity (%) (ELECGEN_S)","Quantity of electricity sold or transferred (1,000 kWh) (ELECSLD)","Relative standard error for estimate of quantity of electricity sold or transferred (%) (ELECSLD_S)","Total inventories, beginning of year ($1,000) (INVTOTB)","Relative standard error for estimate of total inventories, beginning of year (%) (INVTOTB_S)","Finished goods inventories, beginning of year ($1,000) (INVFINB)","Relative standard error for estimate of finished goods inventories, beginning of year (%) (INVFINB_S)","Work-in-process inventories, beginning of year ($1,000) (INVWIPB)","Relative standard error for estimate of work-in-process inventories, beginning of year (%) (INVWIPB_S)","Materials and supplies inventories, beginning of year ($1,000) (INVMATB)","Relative standard error for estimate of materials and supplies inventories, beginning of year (%) (INVMATB_S)","Total inventories, end of year ($1,000) (INVTOTE)","Relative standard error for estimate of total inventories, end of year (%) (INVTOTE_S)","Finished goods inventories, end of year ($1,000) (INVFINE)","Relative standard error for estimate of finished goods inventories, end of year (%) (INVFINE_S)","Work-in-process inventories, end of year ($1,000) (INVWIPE)","Relative standard error for estimate of work-in-process inventories, end of year (%) (INVWIPE_S)","Materials and supplies inventories, end of year ($1,000) (INVMATE)","Relative standard error for estimate of materials and supplies inventories, end of year  (%) (INVMATE_S)","Total capital expenditures (new and used) ($1,000) (CEXTOT)","Relative standard error for estimate of total capital expenditures (new and used)  (%) (CEXTOT_S)","Capital expenditures for buildings and other structures ($1,000) (CEXBLD)","Relative standard error for estimate of capital expenditures for buildings and other structures (%) (CEXBLD_S)","Capital expenditures for machinery and equipment ($1,000) (CEXMCH)","Relative standard error for estimate of capital expenditures for machinery and equipment (%) (CEXMCH_S)","Capital expenditures for automobiles, trucks, etc. for highway use ($1,000) (CEXMCHA)","Relative standard error for estimate of capital expenditures for automobiles, trucks, etc. for highway use (%) (CEXMCHA_S)","Capital expenditures for computers and peripheral data processing equipment ($1,000) (CEXMCHC)","Relative standard error for estimate of capital expenditures for computers and peripheral data processing equipment (%)  (CEXMCHC_S)","Capital expenditures for all other machinery and equipment ($1,000) (CEXMCHO)","Relative standard error for estimate of capital expenditures for all other machinery and equipment (%) (CEXMCHO_S)"
"Minnesota","31-33","Manufacturing","2021","5,398,268","0.6","75,897,553","0.5","69,145,658","0.5","3,700,245","2.3","692,915","0.7","1,084,320","0.7","1,274,415","1.7","12,856,207","0.7","1,106,642","0.2","D","D","13,261,898","0.9","4,791,842","1.0","2,435,872","0.9","6,034,184","1.7","15,771,627","1.0","5,429,055","1.2","3,079,647","0.9","7,262,925","1.7","4,137,948","1.8","1,063,356","2.3","3,074,592","2.1","110,636","4.4","233,601","2.6","2,730,354","2.3"
"Mississippi","31-33","Manufacturing","2018","2,169,057","0.3","40,830,350","0.2","38,521,966","0.2","764,076","2.4","539,660","0.7","770,718","1.2","233,930","1.7","11,470,528","1.1","2,875,760","0.0","D","D","5,288,425","0.2","1,897,527","0.4","1,069,736","0.2","2,321,162","0.3","5,875,828","0.3","2,055,891","0.4","1,229,585","0.4","2,590,353","0.4","1,925,831","1.6","454,486","1.4","1,471,345","2.0","42,852","5.3","27,791","2.1","1,400,702","2.1"
"Mississippi","31-33","Manufacturing","2019","2,171,898","0.4","39,652,090","0.3","37,560,237","0.3","632,308","3.0","492,262","0.5","714,941","0.3","252,343","1.9","10,881,089","0.3","2,742,512","0.0","D","D","5,766,434","0.7","2,028,500","1.0","1,196,872","0.3","2,541,062","1.1","5,874,965","0.6","2,055,712","1.2","1,187,298","1.4","2,631,955","0.6","2,271,905","1.2","723,079","1.8","1,548,826","1.1","75,936","2.8","30,064","1.7","1,442,826","1.1"
"Mississippi","31-33","Manufacturing","2020","2,107,654","0.5","34,236,716","0.3","32,213,685","0.3","642,609","3.6","409,037","0.7","690,080","0.3","281,305","3.1","11,076,618","0.4","2,604,855","0.0","D","D","5,773,803","0.8","2,054,474","1.4","1,146,701","1.4","2,572,628","1.1","5,581,524","0.7","2,008,508","1.1","940,044","2.0","2,632,973","0.7","1,955,117","1.0","366,677","0.8","1,588,440","1.1","42,465","4.2","27,917","1.4","1,518,057","1.1"
"Mississippi","31-33","Manufacturing","2021","2,230,976","0.5","39,480,921","0.3","36,980,669","0.3","763,081","2.6","617,312","0.6","770,990","0.6","348,869","3.7","11,881,625","0.5","2,560,649","0.0","D","D","5,558,052","0.9","1,935,929","1.6","1,037,489","0.7","2,584,634","1.3","6,859,667","0.8","2,513,836","1.4","1,187,713","0.4","3,158,118","1.0","1,924,334","1.2","330,654","0.7","1,593,681","1.3","51,641","2.1","30,865","1.4","1,511,175","1.4"
"Missouri","31-33","Manufacturing","2018","4,653,428","0.3","69,590,892","0.2","65,145,870","0.2","2,164,311","3.0","444,068","1.1","911,315","0.6","925,328","1.1","12,198,888","0.6","30,964","2.3","38,923","0.1","10,712,206","0.4","3,926,777","0.9","2,493,503","1.4","4,291,926","0.6","11,104,192","0.4","4,172,893","1.1","2,262,087","0.5","4,669,211","0.5","2,931,814","1.3","570,503","2.6","2,361,312","1.3","141,425","6.0","85,032","2.6","2,134,854","1.2"
"Missouri","31-33","Manufacturing","2019","4,708,677","0.5","67,803,929","0.3","63,201,303","0.3","2,425,734","1.2","426,845","0.9","884,324","0.5","865,723","1.4","12,018,628","0.5","28,390","0.4","41,638","0.1","11,057,568","0.7","4,131,379","0.8","2,268,000","1.4","4,658,188","0.8","11,444,660","0.6","4,317,534","0.8","2,445,111","1.1","4,682,015","0.8","3,041,019","1.3","562,068","3.6","2,478,951","1.2","108,128","6.8","81,107","3.9","2,289,716","1.1"
"Missouri","31-33","Manufacturing","2020","4,672,582","0.9","66,783,968","0.4","62,693,639","0.4","2,011,228","2.0","395,728","1.0","915,524","0.7","767,849","1.5","13,015,072","0.7","37,191","0.5","35,429","0.1","11,560,527","0.8","4,331,668","0.9","2,464,136","1.4","4,764,723","1.1","12,030,083","0.8","4,366,314","1.0","2,554,672","1.1","5,109,096","1.0","2,723,431","2.0","477,872","3.6","2,245,558","2.0","140,591","13.0","65,858","3.1","2,039,109","1.7"
"Missouri","31-33","Manufacturing","2021","4,869,480","1.0","70,188,767","0.4","65,959,279","0.4","1,940,724","2.3","469,090","0.9","971,758","1.3","847,916","1.7","12,945,132","1.3","13,792","1.3","36,418","0.1","11,934,078","0.9","4,294,475","1.0","2,577,105","1.4","5,062,498","1.1","13,366,456","1.1","4,673,109","0.9","2,966,520","2.5","5,726,826","1.1","2,950,524","1.7","546,895","2.2","2,403,630","1.9","127,701","13.4","84,525","1.4","2,191,404","1.8"
"Montana","31-33","Manufacturing","2018","301,375","0.9","7,524,113","0.4","7,052,966","0.2","125,114","15.0","118,215","0.2","129,279","0.2","98,539","3.4","2,567,443","0.1","D","D","D","D","1,460,226","0.3","581,874","0.7","336,585","0.7","541,767","0.8","1,599,656","0.4","584,383","1.1","439,741","0.2","575,533","0.8","351,898","7.8","65,793","17.5","286,105","5.9","12,881 (s)","42.9","5,271","9.1","267,953","4.4"
"Montana","31-33","Manufacturing","2019","304,996","2.1","7,560,567","0.4","6,935,971","0.4","123,785","4.3","188,576","0.4","131,145","0.7","181,090","1.6","2,553,118","0.3","D","D","D","D","1,561,960","0.6","D","D","D","D","559,426","1.1","1,656,021","1.4","713,148","1.4","378,833","0.9","564,040","2.7","261,270","5.3","40,610","12.0","220,660","4.7","12,751","33.8","5,126","2.7","202,783","4.2"
"Montana","31-33","Manufacturing","2020","301,027","2.6","6,531,854","0.5","6,056,589","0.5","94,432","8.0","169,685","0.5","111,330","0.8","99,818","3.5","2,313,968","0.4","D","D","D","D","1,560,094","1.3","667,446","1.7","316,506","1.0","576,142","2.1","1,737,340","1.2","766,828","1.1","437,806","0.8","532,706","2.6","244,258","3.1","28,858","17.2","215,400","2.0","7,936","8.1","4,170","3.1","203,294","1.9"
"Montana","31-33","Manufacturing","2021","313,319","2.7","9,653,759","0.4","9,082,767","0.4","125,503","6.9","145,682","0.7","152,995","0.6","146,812","2.3","2,563,362","0.4","D","D","D","D","1,751,147","1.0","766,534","1.1","440,741","0.8","543,872","1.7","1,864,777","1.7","844,012","2.8","394,766","0.9","625,999","2.1","393,003","5.5","78,127","10.9","314,875","6.1","9,501","11.6","7,397","6.2","297,977","6.3"
"Nebraska","31-33","Manufacturing","2018","1,427,538","0.4","35,846,135","0.2","33,691,178","0.2","1,128,844","1.2","331,358","0.1","463,212","0.2","231,543","0.8","7,430,553","0.2","D","D","D","D","3,890,111","0.3","1,647,453","0.6","727,496","0.5","1,515,162","0.5","4,319,022","0.2","1,814,560","0.7","867,670","0.3","1,636,792","0.7","1,352,226","1.8","257,148","2.4","1,095,077","1.9","64,925","6.0","44,794","9.8","985,359","1.7"
"Nebraska","31-33","Manufacturing","2019","1,444,247","0.9","35,341,456","0.6","33,277,009","0.6","1,062,705","1.1","303,515","1.5","453,312","1.2","244,915","1.4","7,195,494","1.0","D","D","D","D","4,270,171","0.9","1,816,561","2.2","850,854","0.5","1,602,756","0.8","4,441,992","1.0","1,880,210","2.2","853,374","0.8","1,708,408","0.8","1,068,668","2.0","213,318","4.5","855,350","1.7","44,279","4.8","33,325","4.0","777,745","1.7"
"Nebraska","31-33","Manufacturing","2020","1,424,742","0.9","35,225,315","0.7","33,239,486","0.7","1,054,758","2.0","262,800","2.1","458,492","1.4","209,779","1.8","7,337,242","1.3","D","D","D","D","4,482,949","0.8","1,903,408","1.9","850,105","0.8","1,729,436","0.8","4,504,774","1.1","1,783,534","1.7","871,470","1.2","1,849,769","1.7","1,114,827","2.6","184,601","5.4","930,225","2.4","33,381","13.2","49,959","2.6","846,885","2.4"
"Nebraska","31-33","Manufacturing","2021","1,518,071","0.8","40,440,982","0.8","38,153,284","0.8","1,162,119","1.7","370,476","3.0","513,128","1.9","241,974","1.5","8,025,949","1.7","D","D","D","D","4,514,587","0.9","1,800,603","1.2","876,723","1.4","1,837,261","1.7","5,466,004","1.2","2,194,493","1.5","1,009,990","1.4","2,261,521","1.9","1,302,179","1.7","245,428","4.7","1,056,751","1.3","34,206","8.6","58,864","4.8","963,681","1.3"
"Nevada","31-33","Manufacturing","2018","729,838","1.1","8,491,932","1.0","7,811,661","1.0","295,671","4.2","80,938","0.2","131,840","0.5","171,821","7.1","2,203,074","0.5","D","D","D","D","1,755,631","1.1","621,571","2.5","320,813","1.0","813,248","0.9","2,021,292","2.4","748,746","6.3","319,023","1.2","953,523","1.4","531,136","2.7","83,336","10.4","447,800","2.0","52,705","2.1","39,163","1.1","355,932","2.4"
"Nevada","31-33","Manufacturing","2019","761,569","1.3","8,760,844","1.1","8,138,436","1.1","264,578","6.2","82,710","1.3","137,903","0.9","137,217","2.2","2,323,922","0.6","D","D","D","D","1,917,854","2.2","684,329","1.5","311,454","1.0","922,071","4.2","2,036,150","0.8","700,413","1.2","419,899","1.1","915,838","1.0","477,206","1.6","71,884","3.1","405,322","1.6","24,305","2.7","42,395","0.7","338,623","1.8"
"Nevada","31-33","Manufacturing","2020","751,242","1.6","8,653,523","1.0","8,109,202","1.0","227,217","4.3","84,437","1.7","131,069","0.7","101,598","8.1","2,197,201","0.5","0","X","0","X","2,042,577","1.9","713,346","1.2","410,809","1.3","918,422","3.6","2,022,116","1.1","738,109","1.3","346,418","1.0","937,589","1.7","518,103","3.7","69,856","4.2","448,247","4.2","44,632","3.1","28,526","3.8","375,089","4.8"
